matched_name,count,total_amount,mean_amount,home_district_percentage,oos_percentage,perc_IND_value
Carolyn T Tran,650,46187.59,71.05783076923076,38.54660347551343,20.85308056872038,96.6518504071873
Catherina Gioino,173,6121.0,35.38150289017341,55.81395348837209,8.13953488372093,92.65818952467454
Ceasar Zuniga,317,40175.0,126.73501577287067,32.26837060702875,11.501597444089457,100.0
Cecilia C Cortez,325,17069.0,52.52,29.780564263322884,19.74921630094044,97.85026370098602
Charles Barron,319,26316.0,82.49529780564264,38.291139240506325,6.962025316455696,78.48657741139839
Chi Osse,1229,58808.0,47.85028478437754,11.046511627906977,20.764119601328904,83.91255560590892
Christopher A Sosa,619,28957.11,46.780468497576734,16.802610114192497,33.278955954323,98.90456362373851
Christopher Durosinmi,289,15503.0,53.64359861591696,4.2105263157894735,14.736842105263156,100.0
Christopher Marte,1391,132290.49,95.10459381739754,53.457249070631974,5.799256505576208,99.90182788177268
Christopher R Fuentes-Padilla,1,125.0,125.0,0.0,0.0,25.562372188139058
Constantin Jean-Pierre,15,1833.0,122.2,0.0,15.384615384615385,100.0
Cordell Cleare,431,29300.0,67.98143851508121,45.32710280373832,6.074766355140187,96.69966996699671
Corey Ortega,654,37258.0,56.969418960244646,35.12269938650307,7.515337423312883,95.35328676826627
Crystal Hudson,1483,122219.62,82.41376938637896,22.76755282890252,16.63258350374915,90.90234430898384
Curtis M Harris,379,16387.71,43.23934036939314,26.666666666666668,23.466666666666665,91.48649199367377
Cyril F Joseph,44,2061.0,46.84090909090909,9.75609756097561,9.75609756097561,93.2157394843962
Daniel M Cohen,842,68104.88,80.88465558194775,39.611178614823814,17.618469015795867,99.0073659981895
Daniel Padernacht,190,21383.0,112.5421052631579,61.702127659574465,7.446808510638298,100.0
Danny Marin,1,40.0,40.0,0.0,0.0,100.0
Dao Yin,319,26198.0,82.12539184952978,70.34700315457413,0.31545741324921134,99.24236684597318
Darlene Jackson,263,10997.0,41.81368821292776,32.69230769230769,9.615384615384617,64.72611911089137
Darlene Mealy,458,31288.35,68.31517467248908,38.7308533916849,2.62582056892779,91.01178503331312
Darma V Diaz,374,38446.0,102.79679144385027,4.632152588555858,5.994550408719346,82.3766364551863
David Aiken,145,9840.0,67.86206896551724,70.92198581560284,6.382978723404255,100.0
David Aronov,472,63724.0,135.0084745762712,52.55319148936171,5.74468085106383,95.64721421709893
David Gold,205,15424.0,75.2390243902439,53.0,5.5,95.59615582470897
David Hernandez,63,4835.0,76.74603174603175,68.85245901639344,8.19672131147541,76.21855098051579
David M Carr,661,105843.52,160.12635400907718,39.84615384615385,7.846153846153846,97.28844144393895
Debra Markell,454,38742.66,85.33625550660794,51.65562913907284,11.037527593818984,95.97450037975945
Deirdre M Levy,206,7991.0,38.79126213592233,38.72549019607843,11.76470588235294,99.7106382553945
Demetrius D Wilson II,12,925.0,77.08333333333333,0.0,20.0,100.0
Denise M Keehan-Smith,470,28830.32,61.34110638297872,75.05376344086021,9.46236559139785,96.64770609232485
Dennis N Mihalsky,40,2460.0,61.5,0.0,47.5,100.0
Denny R Salas,180,14638.0,81.32222222222222,21.22905027932961,36.312849162011176,98.32079527135949
Diana I Ayala,377,45326.0,120.22811671087533,34.048257372654156,9.383378016085791,76.0955332529724
Dimple Willabus,608,39816.0,65.48684210526316,32.61943986820428,8.896210873146623,98.15116107084751
Dionel J Then,22,1320.0,60.0,0.0,4.545454545454546,100.0
Donald J Cranston,342,52200.0,152.6315789473684,27.927927927927925,12.312312312312311,86.98396595560885
Donghui Zang,527,29909.34,56.75396584440228,30.65134099616858,3.8314176245210727,100.0
Douglas J Shapiro,223,16519.0,74.0762331838565,52.53456221198156,22.58064516129032,70.26670636777405
Douglas Schneider,431,49497.0,114.84222737819026,54.807692307692314,16.346153846153847,99.69786694060065
Ebony R Young,423,50170.0,118.60520094562648,37.55980861244019,27.033492822966508,96.40609158905372
Edwin DeJesus,227,9238.82,40.69964757709251,0.0,24.774774774774773,93.90170772511338
Edwin R De La Cruz,234,8631.5,36.886752136752136,0.0,5.128205128205128,98.40392179216781
Edwin Raymond,2069,98116.72,47.4222909618173,7.170731707317072,56.09756097560976,99.64556192754189
Edwin Wong,324,25747.16,79.46654320987655,45.42586750788644,7.255520504731862,93.9729160256642
Eliseo D Labayen,311,23265.0,74.80707395498392,34.967320261437905,28.104575163398692,100.0
Eliu A Lara,353,13567.0,38.43342776203966,53.97727272727273,4.829545454545454,82.53939283324208
Elizabeth Adams,961,66038.93,68.71896982310093,24.628450106157114,12.526539278131635,97.94292789139134
Ellen Young,609,69214.66,113.65297208538588,39.83471074380166,22.644628099173552,99.82692638862007
Emily Sharpe,288,15598.24,54.160555555555554,45.51971326164875,24.731182795698924,98.78524767179331
Eric Dinowitz,215,36817.43,171.24386046511628,71.77033492822966,6.220095693779904,73.80841310256938
Erik Bottcher,1183,153159.0,129.46661031276415,52.06896551724138,15.948275862068966,94.88876084976674
Erik S Frankel,29,2549.0,87.89655172413794,0.0,17.857142857142858,100.0
Erin Z Hussein,211,14728.0,69.80094786729858,70.29702970297029,1.9801980198019802,96.51572214114441
Evan F Boccardi,2,43.0,21.5,0.0,0.0,3.762029746281715
Evie Hantzopoulos,1174,67094.38,57.15023850085179,53.18221447253705,12.467306015693111,95.46060326764402
Farah Louis,494,61942.5,125.38967611336032,23.721881390593047,8.384458077709612,97.63565433266344
Fatima Baryab,714,74514.0,104.36134453781513,30.15427769985975,14.025245441795231,96.19302118430736
Felicia Kalan,411,36441.5,88.6654501216545,0.0,14.66992665036675,95.79406700577002
Felicia Singh,1524,75753.7,49.707152230971126,16.74418604651163,16.611295681063122,85.93094914860484
Fernando A Aquino,572,51870.0,90.68181818181819,24.555160142348754,14.94661921708185,100.0
Francesca M Castellanos,1,25.0,25.0,0.0,0.0,1.8867924528301887
Francis E Spangenberg,8,1440.0,180.0,28.57142857142857,28.57142857142857,30.68530514831231
Francisco P Moya,413,90794.0,219.8401937046005,32.17821782178218,15.346534653465346,71.32619317242244
Franck Joseph,1,98.8,98.8,0.0,0.0,100.0
Gale Brewer,833,107886.0,129.51500600240095,34.04255319148936,11.389236545682103,90.17854157611421
Gardy Brazela,803,66236.0,82.48567870485678,72.53433208489388,6.367041198501873,97.28284816261787
Gena M Watson,62,4765.0,76.85483870967742,22.950819672131146,24.59016393442623,55.92723004694836
George Onuorah,298,19657.0,65.96308724832215,48.821548821548824,12.457912457912458,100.0
George S Wonica,279,30418.15,109.02562724014338,0.0,14.801444043321299,96.50994744298127
Gerry Hopkins,26,2590.0,99.61538461538461,0.0,23.076923076923077,100.0
Gigi Li,546,93475.76,171.20102564102564,37.87313432835821,8.208955223880597,93.07365389308569
Glennis E Gomez,447,21732.01,48.61747203579418,8.968609865470851,7.847533632286996,94.808483200208
Glennis Sanchez Severino,11,25.0,2.272727272727273,0.0,0.0,7.109746039871457
Glomani Bravo-Lopez,29,1680.0,57.93103448275862,0.0,17.24137931034483,97.67441860465115
Gregory S Green,169,9450.0,55.917159763313606,0.0,18.67469879518072,82.38884045335658
Haile M Rivera,497,34941.0,70.30382293762575,25.406504065040654,19.10569105691057,100.0
Hailing Chen,573,43915.16,76.64076788830717,24.420677361853834,9.62566844919786,97.55637878439175
Harold C Miller,554,40293.0,72.73104693140795,22.73567467652495,21.072088724584106,96.93273672055427
Harold Tischler,446,119524.25,267.9915919282511,0.0,60.34063260340633,100.0
Harpreet S Toor,448,36750.0,82.03125,60.71428571428571,14.0625,97.09379128137384
Harriet L Hines,71,3695.0,52.04225352112676,30.0,17.142857142857142,94.97591544444616
Heajin Kim,502,25875.71,51.5452390438247,0.0,13.535353535353536,95.21631633543338
Hector Robertson,159,5893.0,37.062893081761004,3.9215686274509802,4.57516339869281,67.98569450853715
Helal A Sheikh,181,23190.0,128.12154696132598,72.92817679558011,1.1049723756906076,99.78485370051635
Helen Hines,186,11995.0,64.48924731182795,1.6483516483516485,13.736263736263737,97.47554984905308
Henry L Butler,475,45437.0,95.65684210526315,13.617021276595745,3.6170212765957444,87.82302800703559
Heriberto Mateo,184,15840.0,86.08695652173913,7.103825136612022,0.0,96.79193400549954
Hiram Monserrate,323,21225.0,65.71207430340557,0.0,0.6230529595015576,94.33333333333334
